市区町村コード,市区町村名,人口数_人
30391,みなべ町,11516
30392,日高川町,8962
30401,白浜町,19753
30404,上富田町,15683
30406,すさみ町,3471
30421,那智勝浦町,13468
30422,太地町,2834
30424,古座川町,2302
30427,北山村,382
30428,串本町,13924
31201,鳥取市,179215
31202,米子市,144056
31203,倉吉市,43663
31204,境港市,32469
31302,岩美町,10769
31325,若桜町,2671
31328,智頭町,6129
31329,八頭町,15488
31364,三朝町,5788
31370,湯梨浜町,16219
31371,琴浦町,15784
31372,北栄町,14127
31384,日吉津村,3616
31386,大山町,14786
31389,南部町,10099
31390,伯耆町,10145
31401,日南町,3865
31402,日野町,2635
31403,江府町,2479
32201,松江市,194313
32202,浜田市,48576
32203,出雲市,172327
32204,益田市,42986
32205,大田市,31475
32206,安来市,35112
32207,江津市,21202
32209,雲南市,34426
32343,奥出雲町,11077
32386,飯南町,4355
32441,川本町,2982
32448,美郷町,4034
32449,邑南町,9467
32501,津和野町,6373
32505,吉賀町,5571
32525,海士町,2209
32526,西ノ島町,2495
32527,知夫村,574
32528,隠岐の島町,13036
33100,岡山市,695690
33202,倉敷市,473670
33203,津山市,95030
33204,玉野市,54130
33205,笠岡市,44030
33207,井原市,36670
33208,総社市,69625
33209,高梁市,26020
33210,新見市,25939
33211,備前市,30816
33212,瀬戸内市,36160
33213,赤磐市,42490
33214,真庭市,40778
33215,美作市,24886
33216,浅口市,32525
33346,和気町,12871
33423,早島町,12748
33445,里庄町,10883
33461,矢掛町,13101
33586,新庄村,793
33606,鏡野町,12017
33622,勝央町,10737
33623,奈義町,5515
33643,西粟倉村,1331
33663,久米南町,4290
33666,美咲町,12538
33681,吉備中央町,10195
34100,広島市,1173543
34202,呉市,201242
34203,竹原市,22557
34204,三原市,87075
34205,尾道市,126396
34207,福山市,455028
34208,府中市,35105
34209,三次市,47904
34210,庄原市,31198
34211,大竹市,25353
34212,東広島市,190911
34213,廿日市市,115451
34214,安芸高田市,26041
34215,江田島市,20690
34302,府中町,52074
34304,海田町,30810
34307,熊野町,23475
34309,坂町,12498
34368,安芸太田町,5367
34369,北広島町,16953
34431,大崎上島町,6779
34462,世羅町,14519
34545,神石高原町,7802
35201,下関市,243422
35202,宇部市,156438
35203,山口市,185982
35204,萩市,41637
35206,防府市,113144
35207,下松市,56637
35208,岩国市,124568
35210,光市,48015
35211,長門市,30207
35212,柳井市,29233
35213,美祢市,20921
35215,周南市,134733
35216,山陽小野田市,58871
35305,周防大島町,13537
35321,和木町,5695
35341,上関町,2190
35343,田布施町,14033
35344,平生町,10748
35502,阿武町,2945
36201,徳島市,244830
36202,鳴門市,53240
36203,小松島市,34604
36204,阿南市,67946
36205,吉野川市,37558
36206,阿波市,34188
36207,美馬市,26264
36208,三好市,22225
36301,勝浦町,4570
36302,上勝町,1337
36321,佐那河内村,2106
36341,石井町,24567
36342,神山町,4673
36368,那賀町,7060
36383,牟岐町,3424
36387,美波町,5711
36388,海陽町,8199
36401,松茂町,14356
36402,北島町,23682
36403,藍住町,35320
36404,板野町,12812
36405,上板町,11140
36468,つるぎ町,7392
36489,東みよし町,13205
37201,高松市,417660
37202,丸亀市,110803
37203,坂出市,49575
37204,善通寺市,29891
37205,観音寺市,56361
37206,さぬき市,44348
37207,東かがわ市,27353
37208,三豊市,60480
37322,土庄町,12384
37324,小豆島町,13057
37341,三木町,26877
37364,直島町,2896
37386,宇多津町,18305
37387,綾川町,22906
37403,琴平町,8140
37404,多度津町,21813
37406,まんのう町,17116
38201,松山市,496666
38202,今治市,147702
38203,宇和島市,66981
38204,八幡浜市,30019
38205,新居浜市,112724
38206,西条市,103413
38207,大洲市,39040
38210,伊予市,35173
38213,四国中央市,80965
38214,西予市,33721
38215,東温市,32959
38356,上島町,6085
38386,久万高原町,6889
38401,松前町,30195
38402,砥部町,20190
38422,内子町,14708
38442,伊方町,7764
38484,松野町,3484
38488,鬼北町,9108
38506,愛南町,18573
39201,高知市,312228
39202,室戸市,11273
39203,安芸市,15555
39204,南国市,45979
39205,土佐市,25646
39206,須崎市,19325
39208,宿毛市,18394
39209,土佐清水市,11591
39210,四万十市,31424
39211,香南市,32585
39212,香美市,24667
39301,東洋町,2059
39302,奈半利町,2858
39303,田野町,2419
39304,安田町,2269
39305,北川村,1177
39306,馬路村,762
39307,芸西村,3570
39341,本山町,3125
39344,大豊町,2961
39363,土佐町,3488
39364,大川村,355
39386,いの町,20829
39387,仁淀川町,4459
39401,中土佐町,5774
39402,佐川町,11805
39403,越知町,4811
39405,檮原町,3084
39410,日高村,4704
39411,津野町,5184
39412,四万十町,14945
39424,大月町,4348
39427,三原村,1355
39428,黒潮町,9855
40100,北九州市,913577
40130,福岡市,1608140
40202,大牟田市,104688
40203,久留米市,300199
40204,直方市,54838
40205,飯塚市,124118
40206,田川市,44839
40207,柳川市,61536
40210,八女市,59544
40211,筑後市,49134
40212,大川市,31147
40213,行橋市,72254
40214,豊前市,23322
40215,中間市,39014
40216,小郡市,59509
40217,筑紫野市,106375
40218,春日市,111919
40219,大野城市,103537
40220,宗像市,96869
40221,太宰府市,71566
40223,古賀市,59184
40224,福津市,69201
40225,うきは市,27382
40226,宮若市,26092
40227,嘉麻市,34143
40228,朝倉市,50024
40229,みやま市,34291
40230,糸島市,104175
40231,那珂川市,49435
40341,宇美町,36878
40342,篠栗町,31261
40343,志免町,46379
40344,須恵町,29307
40345,新宮町,32979
40348,久山町,9410
40349,粕屋町,48723
40381,芦屋町,12728
40382,水巻町,27531
40383,岡垣町,31460
40384,遠賀町,18900
40401,小竹町,6890
40402,鞍手町,14774
40421,桂川町,12738
40447,筑前町,30805
40448,東峰村,1762
40503,大刀洗町,16121
40522,大木町,13653
40544,広川町,19141
40601,香春町,9962
40602,添田町,8311
40604,糸田町,8269
40605,川崎町,14804
40608,大任町,5037
40609,赤村,2843
40610,福智町,20888
40621,苅田町,37553
40625,みやこ町,17710
40642,吉富町,6512
40646,上毛町,7142
40647,築上町,16434
41201,佐賀市,226481
41202,唐津市,113890
41203,鳥栖市,74529
41204,多久市,17604
41205,伊万里市,51664
41206,武雄市,46972
41207,鹿島市,27242
41208,小城市,44063
41209,嬉野市,24446
41210,神埼市,30185
41327,吉野ヶ里町,16162
41341,基山町,17565
41345,上峰町,9870
41346,みやき町,25773
41387,玄海町,4825
41401,有田町,18539
41423,大町町,5941
41424,江北町,9617
41425,白石町,21010
41441,太良町,7874
42201,長崎市,390551
42202,佐世保市,233507
42203,島原市,42044
42204,諫早市,133479
42205,大村市,99694
42207,平戸市,27908
42208,松浦市,20439
42209,対馬市,27102
42210,壱岐市,23736
42211,五島市,33739
42212,西海市,24973
42213,雲仙市,40724
42214,南島原市,40640
42307,長与町,39479
42308,時津町,29240
42321,東彼杵町,7348
42322,川棚町,12948
42323,波佐見町,14111
42383,小値賀町,2115
42391,佐々町,13912
42411,新上五島町,16682
43100,熊本市,731331
43202,八代市,120023
43203,人吉市,29742
43204,荒尾市,49036
43205,水俣市,21639
43206,玉名市,62582
43208,山鹿市,48002
43210,菊池市,46599
43211,宇土市,36143
43212,上天草市,23592
43213,宇城市,56356
43214,阿蘇市,24170
43215,天草市,71920
43216,合志市,65160
43348,美里町,8632
43364,玉東町,5158
43367,南関町,8657
43368,長洲町,15220
43369,和水町,9007
43403,大津町,36343
43404,菊陽町,43761
43423,南小国町,3804
43424,小国町,6295
43425,産山村,1361
43428,高森町,5823
43432,西原村,7074
43433,南阿蘇村,10026
43441,御船町,17270
43442,嘉島町,10254
43443,益城町,34107
43444,甲佐町,9948
43447,山都町,12887
43468,氷川町,10742
43482,芦北町,14877
43484,津奈木町,4107
43501,錦町,10033
43505,多良木町,8321
43506,湯前町,3445
43507,水上村,1933
43510,相良村,3961
43511,五木村,929
43512,山江村,3162
43513,球磨村,2648
43514,あさぎり町,14058
43531,苓北町,6222
44201,大分市,472898
44202,別府市,112115
44203,中津市,81524
44204,日田市,60207
44205,佐伯市,64450
44206,臼杵市,34895
44207,津久見市,14980
44208,竹田市,18917
44209,豊後高田市,21748
44210,杵築市,26153
44211,宇佐市,51972
44212,豊後大野市,31998
44213,由布市,33521
44214,国東市,25074
44322,姫島村,1711
44341,日出町,27829
44461,九重町,8302
44462,玖珠町,13808
45201,宮崎市,394504
45202,都城市,162574
45203,延岡市,113936
45204,日南市,48198
45205,小林市,42075
45206,日向市,57847
45207,串間市,16047
45208,西都市,28078
45209,えびの市,17067
45341,三股町,25684
45361,高原町,8393
45382,国富町,18243
45383,綾町,6785
45401,高鍋町,19275
45402,新富町,16480
45403,西米良村,991
45404,木城町,4710
45405,川南町,14617
45406,都農町,10018
45421,門川町,16989
45429,諸塚村,1406
45430,椎葉村,2406
45431,美郷町,4522
45441,高千穂町,10805
45442,日之影町,3419
45443,五ヶ瀬町,3278
46201,鹿児島市,591263
46203,鹿屋市,98626
46204,枕崎市,18898
46206,阿久根市,18147
46208,出水市,51405
46210,指宿市,37207
46213,西之表市,14095
46214,垂水市,12973
46215,薩摩川内市,90536
46216,日置市,46134
46217,曽於市,32185
46218,霧島市,123070
46219,いちき串木野市,25808
46220,南さつま市,31094
46221,志布志市,28693
46222,奄美市,40239
46223,南九州市,31457
46224,伊佐市,22748
46225,姶良市,78123
46303,三島村,344
46304,十島村,673
46392,さつま町,18696
46404,長島町,9399
46452,湧水町,8294
46468,大崎町,11914
46482,東串良町,6361
46490,錦江町,6165
46491,南大隅町,5912
46492,肝付町,13587
46501,中種子町,7102
46502,南種子町,5196
46505,屋久島町,11326
46523,大和村,1384
46524,宇検村,1604
46525,瀬戸内町,8084
46527,龍郷町,6014
46529,喜界町,6307
46530,徳之島町,9844
46531,天城町,5461
46532,伊仙町,6132
46533,和泊町,5975
46534,知名町,5383
46535,与論町,5062
47201,那覇市,313424
47205,宜野湾市,100443
47207,石垣市,49830
47208,浦添市,115486
47209,名護市,64734
47210,糸満市,62250
47211,沖縄市,141739
47212,豊見城市,65889
47213,うるま市,126948
47214,宮古島市,55656
47215,南城市,46929
47301,国頭村,4459
47302,大宜味村,2910
47303,東村,1701
47306,今帰仁村,9183
47308,本部町,12899
47311,恩納村,11316
47313,宜野座村,6500
47314,金武町,11481
47315,伊江村,4268
47324,読谷村,42289
47325,嘉手納町,12909
47326,北谷町,29259
47327,北中城村,17951
47328,中城村,22683
47329,西原町,35659
47348,与那原町,19920
47350,南風原町,41330
47353,渡嘉敷村,665
47354,座間味村,873
47355,粟国村,676
47356,渡名喜村,291
47357,南大東村,1227
47358,北大東村,544
47359,伊平屋村,1191
47360,伊是名村,1237
47361,久米島町,7140
47362,八重瀬町,33255
47375,多良間村,1040
47381,竹富町,4208
47382,与那国町,1689
